ID,barometric_pressure,latitude,longitude,loc_key,percipitation,reading_time,humidity,sky_coverage,station_id,raw_roadname,road_key,mp,temp,visibility,wind_direction,wind_gust_speed,avg_wind_speed,updated,last_refresh
30,NULL,47.2331,-119.958,afc960900805c990619c1d83a5b40e27,UNKNOWN,"2025-02-06 05:07:18",83,N/A,2174,"SR 28",SR-28,24.90,21.02,NULL,ESE,7,4,"2025-02-05 21:22:14","2025-02-11 21:09:20"
31,825.5,48.9983,-118.225,89a14ca3401ef192ffdb72d59d239971,UNKNOWN,"2025-02-06 05:16:53",70,N/A,2248,"US 395",US-395,270.10,16.16,1,N/A,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
32,917.5,48.608,-118.479,41e18ab58ca1e41b006d05d48887c1da,UNKNOWN,"2025-02-06 05:19:47",84,N/A,2249,"SR 20",SR-20,319.50,10.76,0,N/A,1,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
33,NULL,46.8091,-119.129,46476ca216fdd0c8c01686c58c21c2f0,UNKNOWN,"2025-02-06 05:06:13",77,N/A,2250,"SR 17",SR-17,28.38,24.26,1,N,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
34,NULL,47.3672,-119.489,88b7742755981395ccdf129091849f5b,UNKNOWN,"2025-02-06 05:06:36",2,N/A,2251,"SR 28",SR-28,52.86,-36.4,1,SE,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
35,NULL,46.9343,-123.728,54bb4c35f60d6c86316cf7eab03079f2,UNKNOWN,"2025-02-06 05:11:52",100,N/A,2280,"US 101",US-101,78.38,32.72,1,E,4,2,"2025-02-05 21:22:14","2025-02-11 21:09:20"
36,NULL,47.1402,-123.892,06c586ae72ae718ded970f64d699baf6,UNKNOWN,"2025-02-06 05:12:03",99,N/A,2281,"US 101",US-101,100.40,32.18,1,N/A,1,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
37,988.2,45.6981,-120.815,3c3d5731eb0f47d706896eab6af111ed,UNKNOWN,"2025-02-06 05:15:42",98,N/A,2282,"US 97",US-97,2.28,32,0,ESE,2,1,"2025-02-05 21:22:14","2025-02-11 21:09:20"
38,849.3,48.0284,-117.598,373289006250d4417592e37327674965,UNKNOWN,"2025-02-06 05:12:00",87,N/A,2686,"US 395",US-395,188.10,21.74,1,N/A,1,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
39,NULL,47.7773,-117.544,345a63eb511095444189ef9476841962,UNKNOWN,"2025-02-06 05:07:42",94,N/A,2688,"SR 291",SR-291,9.20,26.42,0,N/A,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
40,NULL,47.7871,-117.407,1a5e5da0a3335bea2ada3b1c7e62c64c,UNKNOWN,"2025-02-06 05:10:22",93,N/A,2689,"US 395",US-395,US,25.52,1,N/A,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
41,NULL,47.4384,-117.788,63ea6880468ced64850d3ac3aa2c2a46,UNKNOWN,"2025-02-06 05:10:56",98,N/A,2690,I-90,I-90,257.90,22.46,0,ESE,1,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
42,NULL,47.6371,-117.474,2b786948e4df920164949e5b739309ab,UNKNOWN,"2025-02-06 05:07:12",99,N/A,2693,I-90,I-90,278.20,23.36,0,WSW,2,1,"2025-02-05 21:22:14","2025-02-11 21:09:20"
43,NULL,47.5937,-117.562,147307ceb2ffe2d0e030f6119aa0f6c8,UNKNOWN,"2025-02-06 05:07:14",94,N/A,2694,I-90,I-90,273.00,23.54,0,N/A,1,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
44,NULL,47.6703,-117.111,dcd6ed72d511e5d4d5ec27ca1e7c48ee,UNKNOWN,"2025-02-06 05:07:16",95,N/A,2695,I-90,I-90,296.00,24.44,1,SE,1,1,"2025-02-05 21:22:14","2025-02-11 21:09:20"
45,NULL,47.1095,-118.395,e5a0c4b76c9f4af31cf9d66e036e3bb8,UNKNOWN,"2025-02-06 05:11:29",95,N/A,2696,I-90,I-90,UNKNOWN,20.3,0,ENE,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
46,1013.5,49,-122.735,cb47b9882ba1a1c45a8245eb7c79db4a,UNKNOWN,"2025-02-06 05:15:21",74,N/A,2701,"SR 543",SR-543,0.12,26.96,1,NE,6,3,"2025-02-05 21:22:14","2025-02-11 21:09:20"
47,985.8,46.346,-123.51,c16ab0639457bc46f805a3901f8e2a61,UNKNOWN,"2025-02-06 05:15:56",100,N/A,2789,"SR 4",SR-4,22.20,31.82,0,N/A,NULL,NULL,"2025-02-05 21:22:14","2025-02-11 21:09:20"
48,NULL,46.7137,-120.414,d8b73b5ffbd0455b90a0703063cf4768,UNKNOWN,"2025-02-06 05:15:26",78,N/A,2901,I-82,I-82,22.27,21.74,NULL,N,9,7,"2025-02-05 21:22:14","2025-02-11 21:09:20"
49,NULL,46.5173,-117.081,29284f656482993e563445487f6cf13b,UNKNOWN,"2025-02-06 05:13:12",81,N/A,2902,"US 195",US-195,3.66,27.14,0,SSE,3,1,"2025-02-05 21:22:14","2025-02-11 21:09:20"
50,NULL,47.4492,-117.385,1971afe2bb7eac6c8ade25c5aafe9a20,UNKNOWN,"2025-02-06 05:13:19",80,N/A,2903,"US 195",US-195,81.60,18.32,0,E,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
51,NULL,47.7565,-122.894,b7f5fcb6aa38dbfdb8e1789deb8429da,UNKNOWN,"2025-02-06 05:12:27",100,N/A,2904,"US 101",US-101,301.54,31.1,0,N,2,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
52,NULL,47.3933,-121.473,76c69b7de71e6aeae03cbef55a202b20,UNKNOWN,"2025-02-06 05:19:04",76,N/A,2955,I-90,I-90,47.55,25.7,1,E,9,3,"2025-02-05 21:22:14","2025-02-11 21:09:20"
53,NULL,47.5358,-124.333,59950f729fe4ffa2e9b3dda8c2e809ba,UNKNOWN,"2025-02-06 05:12:30",98,N/A,2956,"US 101",US-101,152.52,33.44,1,ESE,1,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
54,NULL,47.0849,-123.033,f5fba47817ec1ac1bff529f02f798bc3,UNKNOWN,"2025-02-06 05:14:51",97,N/A,2957,"US 101",US-101,359.05,34.16,1,ENE,7,2,"2025-02-05 21:22:14","2025-02-11 21:09:20"
55,NULL,47.3029,-124.25,5ffe36d59e4ec66327ab088a4249a91c,UNKNOWN,"2025-02-06 05:14:48",99,N/A,2958,"SR 109",SR-109,36.70,33.26,NULL,NE,6,2,"2025-02-05 21:22:14","2025-02-11 21:09:20"
56,NULL,46.0446,-119.225,52e2afb98eab279fceaaa41f7d112dbd,UNKNOWN,"2025-02-06 05:07:35",78,N/A,2995,I-82,I-82,121.42,24.62,1,N/A,13,8,"2025-02-05 21:22:14","2025-02-11 21:09:20"
57,NULL,46.4964,-117.972,6d3eb1215f81eb756b7010e2af4a8e46,UNKNOWN,"2025-02-06 05:08:52",82,N/A,2996,"US 12",US-12,UNKNOWN,29.3,1,NE,1,1,"2025-02-05 21:22:14","2025-02-11 21:09:20"
58,NULL,47.1821,-121.031,7d013e03e90d25e5966ec9ab846195c4,UNKNOWN,"2025-02-06 05:16:40",89,N/A,3002,I-90,I-90,79.00,19.58,1,N/A,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
59,NULL,46.1314,-119.602,e002d9b506fc2dd47ee4131eab69dc2c,UNKNOWN,"2025-02-06 05:07:34",89,N/A,3004,"SR 221",SR-221,13.40,24.8,1,NNE,10,8,"2025-02-05 21:22:14","2025-02-11 21:09:20"
60,NULL,46.2504,-119.369,765d5dd43bee9ab89dddc38ec4b74099,UNKNOWN,"2025-02-06 05:07:37",91,N/A,3005,I-82,I-82,102.50,24.62,1,ENE,5,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
61,NULL,46.0456,-120.567,ce9c0709cbf9822f8bf4d45606d70a5a,UNKNOWN,"2031-01-10 11:55:24",NULL,N/A,3006,"US 97",US-97,34.50,33.08,1,N,1,1,"2025-02-05 21:22:14","2025-02-11 21:09:20"
62,NULL,48.876,-117.348,095d0e2081a3c834b875fcbec2cd391c,UNKNOWN,"2025-02-06 05:14:53",82,N/A,3007,"SR 31",SR-31,16.67,19.4,0,N/A,1,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
63,NULL,48.0691,-123.626,3ce783ccba232d0627e15192c1ff13c2,UNKNOWN,"2025-02-06 05:14:57",NULL,N/A,3028,"US 101",US-101,237.17,NULL,1,N/A,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
64,995.9,47.5316,-121.987,1245ebe6192080bb1928f24a045f7284,UNKNOWN,"2025-02-06 05:15:44",96,N/A,3038,I-90,I-90,19.93,32.72,1,ESE,4,2,"2025-02-05 21:22:14","2025-02-11 21:09:20"
65,NULL,46.2176,-119.749,d331eccecfccdbfed02f99de6e4fb42f,UNKNOWN,"2025-02-06 05:07:40",83,N/A,3110,I-82,I-82,81.73,26.6,1,ENE,8,5,"2025-02-05 21:22:14","2025-02-11 21:09:20"
66,NULL,46.4976,-120.44,5c9981bc0f7324c7380adf4d24cd5e98,UNKNOWN,"2025-02-06 05:09:13",81,N/A,3111,I-82,I-82,41.50,30.2,1,NNE,3,1,"2025-02-05 21:22:14","2025-02-11 21:09:20"
67,981.5,46.5414,-120.471,fd4f806a678ee815bd430729255e0328,UNKNOWN,"2025-02-06 05:16:46",78,N/A,3112,I-82,I-82,37.80,27.68,1,N/A,3,1,"2025-02-05 21:22:14","2025-02-11 21:09:20"
68,NULL,46.393,-120.241,f0a1a47cfa0aa3ef0e8b6c7d9a94ae58,UNKNOWN,"2025-02-06 05:16:47",90,N/A,3113,I-82,I-82,54.08,30.2,1,N/A,2,1,"2025-02-05 21:22:14","2025-02-11 21:09:20"
69,NULL,46.3266,-120.078,4cff4f95299d527fe7df363e1181fe30,UNKNOWN,"2025-02-06 05:16:53",87,N/A,3114,I-82,I-82,63.64,28.76,1,N/A,3,1,"2025-02-05 21:22:14","2025-02-11 21:09:20"
70,1014.1,45.8715,-122.71,4fdaac61cb26568453315197707f2242,UNKNOWN,"2025-02-06 05:15:06",NULL,N/A,3233,I-5,I-5,18.37,36.5,NULL,S,8,4,"2025-02-05 21:22:14","2025-02-11 21:09:20"
71,NULL,47.0677,-122.716,f93e9914cf41334dbf896850db29762b,UNKNOWN,"2025-02-06 05:16:09",89,N/A,3234,I-5,I-5,114.29,37.4,NULL,N/A,NULL,NULL,"2025-02-05 21:22:14","2025-02-11 21:09:20"
72,872.9,48.3904,-119.879,11abeac01fba730699857bb481320a20,UNKNOWN,"2025-02-06 05:16:48",86,N/A,3235,"SR 20",SR-20,214.50,8.42,1,N/A,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
73,NULL,46.5341,-119.88,63f0efa86748c92a2e6d5b46ac057276,UNKNOWN,"2025-02-06 05:09:25",90,N/A,3266,"SR 240",SR-240,26.14,22.64,1,SSE,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
74,1013.4,48.446,-122.432,27749318dfb742518c2bb93ea256a292,UNKNOWN,"2025-02-06 05:15:46",NULL,N/A,3267,"SR 20",SR-20,55.09,29.48,NULL,N,2,1,"2025-02-05 21:22:14","2025-02-11 21:09:20"
75,996.8,47.9163,-122.207,9dd8edb27d3583365cb38bcda904dbd2,UNKNOWN,"2025-02-06 05:15:48",1,N/A,3268,I-5,I-5,189.19,33.8,NULL,N/A,NULL,NULL,"2025-02-05 21:22:14","2025-02-11 21:09:20"
76,900.1,47.9803,-122.188,81034b11c4154d4429899417fab9ffef,UNKNOWN,"2025-02-06 05:15:50",NULL,N/A,3269,I-5,I-5,193.91,35.96,NULL,NNE,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
77,995.2,47.8139,-121.571,330d1c61af624b76cbd04fd49bbd5a57,UNKNOWN,"2025-02-06 05:16:58",87,N/A,3271,"US 2",US-2,35.62,31.1,1,N/A,2,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
78,NULL,48.1771,-124.215,e4c5bd00a5f69295e1843a11c3b9ca63,UNKNOWN,"2025-02-06 05:15:33",NULL,N/A,3272,"SR 112",SR-112,23.12,NULL,1,WSW,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
79,NULL,46.5003,-119.612,4e6761e23d26cf14064e26ca15369c12,UNKNOWN,"2025-02-06 05:07:43",NULL,N/A,3273,"SR 240",SR-240,7.96,24.44,1,N/A,4,3,"2025-02-05 21:22:14","2025-02-11 21:09:20"
80,NULL,46.4671,-119.541,27c6dc9795f819d5aae326b12296d650,UNKNOWN,"2025-02-06 05:07:46",92,N/A,3274,"SR 240",SR-240,12.31,24.26,1,N/A,4,3,"2025-02-05 21:22:14","2025-02-11 21:09:20"
81,NULL,46.3832,-119.423,feac7fd28fb79899dc23885ad871c4d6,UNKNOWN,"2025-02-06 05:07:49",NULL,N/A,3275,"SR 240",SR-240,20.51,25.52,1,N/A,6,5,"2025-02-05 21:22:14","2025-02-11 21:09:20"
82,NULL,46.3256,-119.316,e921966a7839058237ef2c6bac261d06,UNKNOWN,"2025-02-06 05:07:52",95,N/A,3276,"SR 240",SR-240,26.14,25.88,4,N/A,3,2,"2025-02-05 21:22:14","2025-02-11 21:09:20"
83,1099.5,47.3035,-122.233,0758415be0cb496097ab60120c3bed0d,UNKNOWN,"2025-02-06 05:17:04",53,N/A,3277,"SR 18",SR-18,3.68,35.06,0,N/A,4,2,"2025-02-05 21:22:14","2025-02-11 21:09:20"
84,NULL,46.0495,-118.496,b0a9395086ab83c6c10344af38c96daf,UNKNOWN,"2025-02-06 05:07:55",85,N/A,3295,"SR 12",SR-12,328.75,26.42,1,SW,4,3,"2025-02-05 21:22:14","2025-02-11 21:09:20"
85,999.5,47.831,-122.262,e78da7c6e53c9e38ce7935c2c13a86c0,UNKNOWN,"2025-02-06 05:17:06",94,N/A,3752,I-5,I-5,182.57,32.72,NULL,S,3,1,"2025-02-05 21:22:14","2025-02-11 21:09:20"
86,NULL,46.8023,-123.007,ac362fb6009f974c1036969c600e86b9,UNKNOWN,"2025-02-06 05:16:31",98,N/A,3776,I-5,I-5,88.32,34.7,1,SE,10,5,"2025-02-05 21:22:14","2025-02-11 21:09:20"
87,969.5,46.7631,-122.192,8e9dae21e751f8834e3dccccad5a6cf8,UNKNOWN,"2025-02-06 05:16:50",93,N/A,3830,"SR 7",SR-7,16.79,32.36,1,E,7,3,"2025-02-05 21:22:14","2025-02-11 21:09:20"
88,1011.9,48.9639,-122.485,41e12a54d53b4118229bc9dc9c427036,UNKNOWN,"2025-02-06 05:17:10",77,N/A,3832,"SR 539",SR-539,12.52,23.9,1,NE,13,9,"2025-02-05 21:22:14","2025-02-11 21:09:20"
89,1012.6,48.892,-122.486,9cf1aefb5af23371e418a6a957426506,UNKNOWN,"2025-02-06 05:17:12",65,N/A,3833,"SR 539",SR-539,7.51,26.06,1,NNE,10,6,"2025-02-05 21:22:14","2025-02-11 21:09:20"
90,1010.8,47.8474,-122.01,7fb3de11c9d2795434063d3c9aa9800d,UNKNOWN,"2025-02-06 05:17:46",98,N/A,3841,"SR 522",SR-522,23.03,32.72,1,E,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
91,NULL,47.2638,-122.546,6a925a25e1c34cd4e58667b77ce292db,UNKNOWN,"2025-02-06 05:16:23",NULL,N/A,3854,"SR 16",SR-16,UNKNOWN,NULL,NULL,SE,6,3,"2025-02-05 21:22:14","2025-02-11 21:09:20"
92,978.7,46.7585,-118.309,ac9315e597a90de8339d1c60541ca80c,UNKNOWN,"2025-02-06 05:16:02",90,N/A,3856,"SR 26",SR-26,UNKNOWN,25.16,1,SSE,3,2,"2025-02-05 21:22:14","2025-02-11 21:09:20"
93,954.5,46.8093,-117.655,dc3137d0d2fc8b0ee4fe0e6aae2d1303,UNKNOWN,"2025-02-06 05:15:02",92,N/A,3857,"SR 26",SR-26,116.92,26.42,1,N/A,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
94,NULL,48.7275,-118.963,c7eb7fd192c545f6b17f0277313d7a7d,UNKNOWN,"2025-02-06 05:08:41",83,N/A,3860,"SR 20",SR-20,288.72,8.6,NULL,SSW,0,0,"2025-02-05 21:22:14","2025-02-11 21:09:20"
95,NULL,47.24,-122.402,e1c070a960ec5fb98044ce35de043deb,UNKNOWN,"2025-02-06 05:17:25",74,N/A,3865,I-5,I-5,135.28,38.48,1,ESE,5,2,"2025-02-05 21:22:14","2025-02-11 21:09:20"
96,1006.8,45.8356,-119.935,0c7fbc5fabdf4d9934fac639818f2752,UNKNOWN,"2025-02-06 05:17:24",80,N/A,5659,UNKNOWN,UNKNOWN,UNKNOWN,32.54,1,NNE,6,5,"2025-02-05 21:22:14","2025-02-11 21:09:20"
97,NULL,45.6766,-122.665,6311e5751adbe2c2e4f51ca204361ecc,UNKNOWN,"2025-02-06 05:17:47",86,N/A,5660,I-5,I-5,UNKNOWN,37.22,1,N/A,NULL,NULL,"2025-02-05 21:22:14","2025-02-11 21:09:20"
98,NULL,45.6307,-122.666,e7f57e31a8ea400cfd0a51398a428779,UNKNOWN,"2025-02-06 05:18:14",86,N/A,5661,I-5,I-5,UNKNOWN,37.22,1,N/A,NULL,NULL,"2025-02-05 21:22:14","2025-02-11 21:09:20"
99,985,46.5714,-118.989,c20b955da4b3b41959c9ec219e774618,UNKNOWN,"2025-02-06 05:09:31",70,N/A,5673,UNKNOWN,UNKNOWN,UNKNOWN,25.16,1,N/A,9,4,"2025-02-05 21:22:14","2025-02-11 21:09:20"
100,NULL,47.231,-122.457,dbabc2395d8bd8fa6a4868f197630cb0,UNKNOWN,"2025-02-06 05:17:45",74,N/A,5678,"SR 16",SR-16,UNKNOWN,37.22,1,SSE,7,4,"2025-02-05 21:22:14","2025-02-11 21:09:20"
101,NULL,47.2313,-122.461,21211a22daef334c4c78b5352d8797e9,UNKNOWN,"2025-02-06 05:18:04",NULL,N/A,5680,"SR 16",SR-16,UNKNOWN,NULL,NULL,N/A,NULL,NULL,"2025-02-05 21:22:14","2025-02-11 21:09:20"
102,999.6,46.0546,-118.668,7e33e423abfc7bc3b331eb653d0969d6,UNKNOWN,"2025-02-06 05:07:56",82,N/A,5883,UNKNOWN,UNKNOWN,UNKNOWN,27.32,1,SSW,6,3,"2025-02-05 21:22:14","2025-02-11 21:09:20"
103,NULL,47.6458,-117.45,bc92ae36e7bea0a651fcf9fd821809a9,UNKNOWN,"2025-02-06 05:15:25",93,N/A,5927,I-90,I-90,UNKNOWN,NULL,NULL,N/A,NULL,NULL,"2025-02-05 21:22:14","2025-02-11 21:09:20"
