BarometricPressure,Latitude,Longitude,PrecipitationInInches,ReadingTime,RelativeHumidity,SkyCoverage,StationID,StationName,TemperatureInFahrenheit,Visibility,WindDirection,WindDirectionCardinal,WindGustSpeedInMPH,WindSpeedInMPH,timestamp
,47.7459,-121.0891,,/Date(1738713007000-0800)/,,N/A,1984,Stevens Pass on US 2 at mp 64.58,,,,N/A,,,2025-02-04 16:23:32.489436
1009.3,48.992,-122.272,,/Date(1738713619000-0800)/,44.0,N/A,1985,SR 9 / SR 547 (Sumas at Front St) at mp 97.50,26.96,1.0,60.0,ENE,17.0,9.0,2025-02-04 16:23:32.489436
,47.043,-119.916,,/Date(1738713902000-0800)/,61.0,N/A,1987,Silica Road on I-90 at mp 143.86,26.42,1.0,50.0,NE,10.0,6.0,2025-02-04 16:23:32.489436
,47.113,-120.786,,/Date(1738713702000-0800)/,,N/A,1989,Elk Heights on I-90 at mp 92.12,,0.0,25.0,NNE,3.0,0.0,2025-02-04 16:23:32.489436
,48.0504,-122.9523,,/Date(1738714314000-0800)/,97.0,N/A,2044,Diamond Point on US 101 at mp 274.60,33.26,1.0,,N/A,3.0,2.0,2025-02-04 16:23:32.489436
,48.0938,-123.2783,,/Date(2022420823000-0800)/,,N/A,2045,Seibert Creek Bridge,,,,N/A,,,2025-02-04 16:23:32.489436
976.9,45.569,-122.203,,/Date(1738714309000-0800)/,80.0,N/A,2061,Cape Horn on SR 14 at mp 23.95,35.6,1.0,,N/A,4.0,1.0,2025-02-04 16:23:32.489436
,47.4435,-121.6694,,/Date(1738714148000-0800)/,77.0,N/A,2068,Snoqualmie River Bridge on I-90 at mp 37.75,32.9,1.0,75.0,ENE,4.0,1.0,2025-02-04 16:23:32.489436
985.5,47.473,-121.742,,/Date(1738713610000-0800)/,50.0,N/A,2069,Tanner Crossing on WB I-90 at mp 33.50,39.56,1.0,67.0,ENE,9.0,3.0,2025-02-04 16:23:32.489436
,47.427,-121.418,,/Date(1738714113000-0800)/,82.0,N/A,2085,Alpental Exit on I-90 at mp 52.26,26.24,1.0,20.0,NNE,6.0,3.0,2025-02-04 16:23:32.489436
,47.4187,-121.4439,,/Date(1738714140000-0800)/,77.0,N/A,2086,Denny Creek on I-90 at mp 50.44,28.94,1.0,,N/A,,,2025-02-04 16:23:32.489436
,47.426,-121.432,,/Date(1738714122000-0800)/,78.0,N/A,2087,Franklin Falls on I-90 at mp 51.25,27.5,1.0,10.0,N,3.0,0.0,2025-02-04 16:23:32.489436
,47.3348,-120.5771,,/Date(1738713004000-0800)/,9.0,N/A,2108,Blewett Pass on US 97 at mp 163.75,19.76,,0.0,N/A,5.0,0.0,2025-02-04 16:23:32.489436
,46.638,-121.39,,/Date(1738713732000-0800)/,82.0,N/A,2139,White Pass Summit on US 12 at mp 150.92,19.94,1.0,90.0,E,0.0,0.0,2025-02-04 16:23:32.489436
,47.3019,-120.0678,,/Date(1738713091000-0800)/,60.0,N/A,2173,Palisades on SR 28 at mp 14.44,27.68,1.0,35.0,NE,5.0,2.0,2025-02-04 16:23:32.489436
,47.2331,-119.9582,,/Date(1738713095000-0800)/,83.0,N/A,2174,Quincy Rest Area on SR 28 at mp 24.90,24.62,,5.0,N,7.0,5.0,2025-02-04 16:23:32.489436
825.4,48.9983,-118.2245,,/Date(1738714114000-0800)/,58.0,N/A,2248,Laurier on US 395 at mp 270.10,28.04,1.0,55.0,NE,0.0,0.0,2025-02-04 16:23:32.489436
916.9,48.608,-118.479,,/Date(1738714189000-0800)/,84.0,N/A,2249,Sherman Pass on SR 20 at mp 319.50,12.74,1.0,85.0,E,5.0,3.0,2025-02-04 16:23:32.489436
,46.8091,-119.1287,,/Date(1738713974000-0800)/,62.0,N/A,2250,Othello on SR 17 at mp 28.38,30.2,1.0,10.0,N,0.0,0.0,2025-02-04 16:23:32.489436
,47.3672,-119.4885,,/Date(1738713997000-0800)/,2.0,N/A,2251,Soap Lake on SR 28 at mp 52.86,-36.4,1.0,160.0,SSE,0.0,0.0,2025-02-04 16:23:32.489436
,46.9343,-123.7282,,/Date(1738714317000-0800)/,100.0,N/A,2280,Cosmopolis Hill on US 101 at mp 78.38,34.16,1.0,,N/A,5.0,3.0,2025-02-04 16:23:32.489436
,47.1402,-123.8922,,/Date(1738714332000-0800)/,90.0,N/A,2281,State Camp Hill on US 101 at mp 100.40,35.96,1.0,45.0,NE,3.0,1.0,2025-02-04 16:23:32.489436
979.2,45.6981,-120.8147,,/Date(1738714005000-0800)/,75.0,N/A,2282,Maryhill on US 97 at mp 2.28,33.44,1.0,49.0,NE,8.0,6.0,2025-02-04 16:23:32.489436
843.6,48.0284,-117.5981,,/Date(1738713844000-0800)/,58.0,N/A,2686,Clayton Rd on US 395 at mp 188.10,21.56,1.0,100.0,E,4.0,2.0,2025-02-04 16:23:32.489436
,47.7773,-117.544,,/Date(1738714316000-0800)/,58.0,N/A,2688,Nine Mile on SR 291 at mp 9.20,26.78,0.0,0.0,N/A,0.0,0.0,2025-02-04 16:23:32.489436
,47.787111111,-117.406694444,,/Date(1738713699000-0800)/,53.0,N/A,2689,US 395 at MP 167.90: Wandermere Rd,26.6,1.0,175.0,S,1.0,0.0,2025-02-04 16:23:32.489436
,47.4384,-117.7883,,/Date(1738713772000-0800)/,71.0,N/A,2690,I-90 / SR 904 Interchange (Tyler Rd) at mp 257.90,24.26,1.0,5.0,N,7.0,5.0,2025-02-04 16:23:32.489436
,47.637121,-117.47412,,/Date(1738714272000-0800)/,73.0,N/A,2693,Garden Springs on I-90 at mp 278.20,23.72,0.0,,N/A,6.0,3.0,2025-02-04 16:23:32.489436
,47.59373512,-117.562104577,,/Date(1738714274000-0800)/,70.0,N/A,2694,Medical Lake on I-90 at mp 273.00,22.82,0.0,,N/A,4.0,0.0,2025-02-04 16:23:32.489436
,47.6703,-117.1108,,/Date(1738714277000-0800)/,64.0,N/A,2695,Liberty Lake on I-90 at mp 296.00,21.74,1.0,80.0,E,15.0,9.0,2025-02-04 16:23:32.489436
,47.1095,-118.395,,/Date(1738713821000-0800)/,69.0,N/A,2696,I-90 / SR 395 Interchange (Ritzville) at mp 220,26.78,0.0,45.0,NE,9.0,7.0,2025-02-04 16:23:32.489436
1007.6,49.0,-122.7352,,/Date(1738713620000-0800)/,46.0,N/A,2701,Blaine on SR 543 at mp 0.12,29.12,1.0,60.0,ENE,9.0,3.0,2025-02-04 16:23:32.489436
977.2,46.346048,-123.510366,,/Date(1738714030000-0800)/,89.0,N/A,2789,KM Mountain on SR 4 at mp 22.20,35.78,1.0,85.0,E,3.0,0.0,2025-02-04 16:23:32.489436
,46.7137,-120.414,,/Date(1738713626000-0800)/,69.0,N/A,2901,South Umtanum on I-82 at mp 22.27,27.32,,40.0,NE,10.0,8.0,2025-02-04 16:23:32.489436
,46.51726003,-117.0811251,,/Date(1738713901000-0800)/,88.0,N/A,2902,Uniontown on US 195 at mp 3.66,29.66,0.0,,N/A,3.0,2.0,2025-02-04 16:23:32.489436
,47.4492,-117.3853,,/Date(1738713905000-0800)/,55.0,N/A,2903,Spangle on US 195 at mp 81.60,21.02,1.0,10.0,N,11.0,7.0,2025-02-04 16:23:32.489436
,47.7565,-122.8938,,/Date(1738714359000-0800)/,100.0,N/A,2904,Mt Walker US 101 at mp 301.54,33.8,1.0,0.0,N/A,0.0,0.0,2025-02-04 16:23:32.489436
,47.3933,-121.4734,,/Date(1738714156000-0800)/,93.0,N/A,2955,Asahel Curtis on I-90 at mp 47.55,28.94,1.0,100.0,E,1.0,0.0,2025-02-04 16:23:32.489436
,47.5358,-124.333,,/Date(1738714366000-0800)/,69.0,N/A,2956,Queets on US 101 at mp 152.52,39.02,1.0,143.0,SE,6.0,1.0,2025-02-04 16:23:32.489436
,47.0849,-123.0331,,/Date(1738713936000-0800)/,96.0,N/A,2957,Oyster Bay Rd on US 101 at mp 359.05,35.78,1.0,196.0,SSW,1.0,0.0,2025-02-04 16:23:32.489436
,47.3029,-124.2504,,/Date(1738713930000-0800)/,86.0,N/A,2958,Pt. Grenville on SR 109 at mp 36.70,36.5,,50.0,NE,4.0,0.0,2025-02-04 16:23:32.489436
,46.0446,-119.2246,,/Date(1738714056000-0800)/,72.0,N/A,2995,Horse Heaven on I-82 at mp 121.42,29.84,1.0,,N/A,17.0,13.0,2025-02-04 16:23:32.489436
,46.4964,-117.9716,,/Date(1738714132000-0800)/,93.0,N/A,2996,Delaney on US 12 at mp 382,32.18,1.0,,N/A,2.0,1.0,2025-02-04 16:23:32.489436
,47.1821,-121.0313,,/Date(1738713711000-0800)/,65.0,N/A,3002,Bullfrog on I-90 at mp 79.00,30.02,1.0,60.0,ENE,6.0,3.0,2025-02-04 16:23:32.489436
,46.1314,-119.6017,,/Date(1738714054000-0800)/,64.0,N/A,3004,Sellards Road on SR 221 on SR 221 at mp 13.40,30.56,1.0,,N/A,15.0,11.0,2025-02-04 16:23:32.489436
,46.2504,-119.3695,,/Date(1738714057000-0800)/,61.0,N/A,3005,I-82 / I-182 Interchange at mp 102.50,31.46,1.0,,N/A,10.0,6.0,2025-02-04 16:23:32.489436
,46.0456,-120.5671,,/Date(1925812524000-0800)/,,N/A,3006,Yakima County line on US 97 at mp 34.50,33.08,1.0,5.0,N,1.0,1.0,2025-02-04 16:23:32.489436
,48.876,-117.3483,,/Date(1738713960000-0800)/,99.0,N/A,3007,Metaline Fall on SR 31 at mp 16.67,24.98,1.0,,N/A,4.0,0.0,2025-02-04 16:23:32.489436
,48.0691,-123.626,,/Date(1738713948000-0800)/,,N/A,3028,Indian Valley on US 101 at mp 237.17,,1.0,89.0,E,2.0,0.0,2025-02-04 16:23:32.489436
989.3,47.531644,-121.987001,,/Date(1738713622000-0800)/,93.0,N/A,3038,Sunset on I-90 at mp 19.93,34.34,1.0,135.0,SE,2.0,1.0,2025-02-04 16:23:32.489436
,46.2176,-119.7489,,/Date(1738714061000-0800)/,61.0,N/A,3110,Prosser on I-82 at mp 81.73,34.16,1.0,35.0,NE,3.0,2.0,2025-02-04 16:23:32.489436
,46.49755,-120.43998,,/Date(1738714151000-0800)/,56.0,N/A,3111,Parker on I-82 at mp 41.50,34.88,1.0,109.0,ESE,5.0,3.0,2025-02-04 16:23:32.489436
973.1,46.54136,-120.47103,,/Date(1738713717000-0800)/,57.0,N/A,3112,Union Gap on I-82 at mp 37.80,34.7,1.0,,N/A,4.0,2.0,2025-02-04 16:23:32.489436
,46.393,-120.2411,,/Date(1738713718000-0800)/,70.0,N/A,3113,Zillah on I-82 at mp 54.08,34.52,1.0,194.0,SSW,2.0,1.0,2025-02-04 16:23:32.489436
,46.3266,-120.0779,,/Date(1738713724000-0800)/,64.0,N/A,3114,Outlook on I-82 at mp 63.64,32.9,1.0,,N/A,6.0,3.0,2025-02-04 16:23:32.489436
1003.8,45.8715,-122.7099,,/Date(1738713963000-0800)/,59.0,N/A,3233,Paradise Point on I-5 at mp 18.37,43.7,,190.0,S,1.0,0.0,2025-02-04 16:23:32.489436
,47.0677,-122.7158,,/Date(1738714055000-0800)/,59.0,N/A,3234,Nisqually on I-5 at mp 114.29,42.62,,,N/A,,,2025-02-04 16:23:32.489436
867.7,48.3904,-119.8792,,/Date(1738713708000-0800)/,90.0,N/A,3235,Loup Loup Pass on SR 20 at mp 214.50,14.36,1.0,,N/A,1.0,1.0,2025-02-04 16:23:32.489436
,46.5341,-119.8798,,/Date(1738714164000-0800)/,65.0,N/A,3266,SR 240 / SR 241 Interchange (Hanford) at mp 26.14,27.86,1.0,,N/A,1.0,1.0,2025-02-04 16:23:32.489436
1007.4,48.446,-122.432,,/Date(1738713624000-0800)/,58.0,N/A,3267,Mount Vernon on SR 20 at mp 55.09,35.78,,0.0,N/A,5.0,3.0,2025-02-04 16:23:32.489436
990.5,47.9163,-122.2072,,/Date(1738713627000-0800)/,1.0,N/A,3268,I-5 / SR526 Interchange at mp 189.19,38.12,,,N/A,,,2025-02-04 16:23:32.489436
902.3,47.9803,-122.188,,/Date(1738713629000-0800)/,70.0,N/A,3269,I-5 / SR2 Interchange (Everett) at mp 193.91,42.98,,10.0,N,0.0,0.0,2025-02-04 16:23:32.489436
987.1,47.8139,-121.5709,,/Date(1738713703000-0800)/,95.0,N/A,3271,Index-Galena Road on US 2 at mp 35.62,33.08,1.0,69.0,ENE,2.0,1.0,2025-02-04 16:23:32.489436
,48.1771,-124.2147,,/Date(1738713991000-0800)/,,N/A,3272,Burnt Mountain on SR 112 at mp 23.12,,1.0,0.0,N/A,3.0,0.0,2025-02-04 16:23:32.489436
,46.500278,-119.611667,,/Date(1738714064000-0800)/,99.0,N/A,3273,Beloit on SR 240 at mp 7.96,32.36,1.0,,N/A,7.0,5.0,2025-02-04 16:23:32.489436
,46.467063,-119.541111,,/Date(1738714068000-0800)/,56.0,N/A,3274,Mid Hanford on SR 240 at mp 12.31,33.08,1.0,,N/A,7.0,5.0,2025-02-04 16:23:32.489436
,46.383155,-119.422786,,/Date(1738714072000-0800)/,57.0,N/A,3275,SR 240 / SR 225 (Horn Rd) at mp 20.51,33.8,1.0,0.0,N/A,11.0,9.0,2025-02-04 16:23:32.489436
,46.325574,-119.316126,,/Date(1738714075000-0800)/,58.0,N/A,3276,Twin Bridges on SR 240 at mp 26.14,33.8,0.0,,N/A,9.0,6.0,2025-02-04 16:23:32.489436
1099.5,47.303516,-122.232946,,/Date(1738713709000-0800)/,53.0,N/A,3277,C St SW in Auburn on SR 18 at mp 3.68,35.06,0.0,,N/A,5.0,3.0,2025-02-04 16:23:32.489436
,46.049483,-118.495917,,/Date(1738714078000-0800)/,97.0,N/A,3295,Frenchtown Rd on SR 12 at mp 328.75,29.84,1.0,195.0,SSW,2.0,1.0,2025-02-04 16:23:32.489436
993.1,47.8309668,-122.262359231,,/Date(1738713711000-0800)/,63.0,N/A,3752,I-5 / I-405 Interchange at mp 182.57,37.94,,70.0,ENE,6.0,3.0,2025-02-04 16:23:32.489436
,46.80226113,-123.007164104,,/Date(1738714082000-0800)/,78.0,N/A,3776,Grand Mound on I-5 at mp 88.32,40.82,1.0,,N/A,5.0,3.0,2025-02-04 16:23:32.489436
961.4,46.763142629,-122.192029836,,/Date(1738714104000-0800)/,86.0,N/A,3830,SR 7 / SR 706 Interchange (Elbe) at mp 16.79,35.06,1.0,,N/A,0.0,0.0,2025-02-04 16:23:32.489436
1006.0,48.963854,-122.484913,,/Date(1738713714000-0800)/,49.0,N/A,3832,SR 539 / SR 546 (Badger Rd) at mp 12.52,24.8,1.0,70.0,ENE,21.0,14.0,2025-02-04 16:23:32.489436
1006.6,48.891981,-122.48569,,/Date(1738713717000-0800)/,47.0,N/A,3833,SR 539 / SR 544 Interchange (Pole Rd) at mp 7.51,26.96,1.0,25.0,NNE,18.0,13.0,2025-02-04 16:23:32.489436
1003.8,47.847408802,-122.00975975,,/Date(1738713731000-0800)/,76.0,N/A,3841,Main St on SR 522 at mp 23.03,37.58,1.0,,N/A,0.0,0.0,2025-02-04 16:23:32.489436
,47.263826124,-122.545658013,,/Date(1738714292000-0800)/,,N/A,3854,Tacoma Narrows Bridge on SR 16 at mp 5,,,,N/A,,,2025-02-04 16:23:32.489436
970.4,46.758461,-118.309057,,/Date(1738714048000-0800)/,80.0,N/A,3856,Washtucna on SR 26 at mp 83,30.38,1.0,42.0,NE,10.0,6.0,2025-02-04 16:23:32.489436
946.2,46.809302,-117.655437,,/Date(1738713974000-0800)/,,N/A,3857,Dusty on SR 26 at mp 116.92,,1.0,,N/A,,,2025-02-04 16:23:32.489436
,48.727548442,-118.962583142,,/Date(1738713219000-0800)/,72.0,N/A,3860,Wauconda Pass on SR 20 at mp 288.72,14.9,,,N/A,3.0,0.0,2025-02-04 16:23:32.489436
,47.240022527,-122.402216037,,/Date(1738714385000-0800)/,58.0,N/A,3865,Puyallup River Bridge on I-5 at mp 135.28,42.62,1.0,,N/A,7.0,4.0,2025-02-04 16:23:32.489436
997.8,45.83562,-119.93454,,/Date(1738714138000-0800)/,62.0,N/A,5659,Alderdale,35.06,1.0,54.0,NE,9.0,6.0,2025-02-04 16:23:32.489436
,45.67658,-122.66488,,/Date(1738714161000-0800)/,53.0,N/A,5660,I-5 @ 78th Street,43.88,1.0,,N/A,,,2025-02-04 16:23:32.489436
,45.63071,-122.66598,,/Date(1738714188000-0800)/,62.0,N/A,5661,I-5 @ Mill Plain Blvd,42.98,1.0,,N/A,,,2025-02-04 16:23:32.489436
976.1,46.57141,-118.98851,,/Date(1738714171000-0800)/,71.0,N/A,5673,Mesa/SR17 Interchange,33.08,1.0,19.0,NNE,7.0,4.0,2025-02-04 16:23:32.489436
,47.231000804,-122.457406871,,/Date(1738714407000-0800)/,61.0,N/A,5678,I5 SB at SR 16 I/C Flyover,39.74,1.0,2.0,N,9.0,6.0,2025-02-04 16:23:32.489436
,47.231300833,-122.46100868,,/Date(1738714431000-0800)/,,N/A,5680,SR 16 at I5 I/C HOV,,,,N/A,,,2025-02-04 16:23:32.489436
990.7,46.05456,-118.66769,,/Date(1738714079000-0800)/,94.0,N/A,5883,Touchet Road Interchange,30.92,1.0,172.0,S,2.0,1.0,2025-02-04 16:23:32.489436
,47.645779,-117.449909,,/Date(1738714027000-0800)/,68.0,N/A,5927,US-195 @ I-90 Ramp Meter,,,,N/A,,,2025-02-04 16:23:32.489436
