AlertID,County,EndRoadwayLocation,EndTime,EventCategory,EventStatus,ExtendedDescription,HeadlineDescription,LastUpdatedTime,Priority,Region,StartRoadwayLocation,StartTime,timestamp
619219,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.678713174, ""Longitude"": -117.363494541, ""MilePost"": 80.0, ""RoadName"": ""Upriver""}",,Construction,Open,,Upriver Drive will have intermittent single lane closures through the work zone. Watch for flaggers directing traffic through the area.,/Date(1738250900920-0800)/,High,Eastern,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.677765521, ""Longitude"": -117.359909911, ""MilePost"": 90.0, ""RoadName"": ""Upriver""}",/Date(1728660660000-0700)/,2025-02-04 16:23:32.489436
634334,,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.434551224, ""Longitude"": -122.295404965, ""MilePost"": 18.35, ""RoadName"": ""099""}",/Date(1738871880000-0800)/,Construction,Open,,"Sound Transit contractor crews will close the left lane on northbound SR 99 between South 216th Street and South 208th Street from 9 a.m. to 3 p.m. daily Tuesday, Feb. 4 through the afternoon of Thursday, Feb. 6.",/Date(1738267590190-0800)/,Medium,Northwest,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.408235203, ""Longitude"": -122.298154075, ""MilePost"": 16.51, ""RoadName"": ""099""}",/Date(1738281480000-0800)/,2025-02-04 16:23:32.489436
634402,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 48.908102104, ""Longitude"": -122.363368641, ""MilePost"": 6.56, ""RoadName"": ""544""}",/Date(1739538000000-0800)/,Construction,Open,,"Nightly from 9 p.m. to 5 a.m. Monday, Feb. 3 to Friday morning, Feb. 7 and Monday, Feb. 10 to Friday morning, Feb. 14, utility crews will alternate traffic on State Route 544/East Pole Road in Everson between Noon Road (milepost 4) and Sable Drive (milepost 7).",/Date(1738341895110-0800)/,Low,Northwest,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 48.891524784, ""Longitude"": -122.39749959, ""MilePost"": 4.02, ""RoadName"": ""544""}",/Date(1738337400000-0800)/,2025-02-04 16:23:32.489436
634717,,"{""Description"": null, ""Direction"": ""S"", ""Latitude"": 47.267680754, ""Longitude"": -122.261411069, ""MilePost"": 11.9, ""RoadName"": ""167""}",/Date(1739019600000-0800)/,Construction,Open,,"Monday, February 3 to the morning of Saturday, February 8: Up to one lane of southbound SR 167 from 15th Street Southwest (milepost 12.5) to 3rd Avenue Southwest (milepost 11.9) will be closed nightly, from 9:00 p.m. – 5:00 a.m.",/Date(1738610195977-0800)/,Low,Northwest,"{""Description"": null, ""Direction"": ""S"", ""Latitude"": 47.276111775, ""Longitude"": -122.258584114, ""MilePost"": 12.5, ""RoadName"": ""167""}",/Date(1738569600000-0800)/,2025-02-04 16:23:32.489436
634758,,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.990357809, ""Longitude"": -122.182586639, ""MilePost"": 194.69, ""RoadName"": ""005""}",/Date(1739023200000-0800)/,Construction,Open,,"The left lane of northbound I-5 will be closed nightly from 8 p.m. to 7 a.m. Thursday night, Feb. 6, to Saturday morning, Feb. 8, from 41st Street to Marine View Drive for construction.",/Date(1738620480477-0800)/,Low,Northwest,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.964480799, ""Longitude"": -122.199022046, ""MilePost"": 192.67, ""RoadName"": ""005""}",/Date(1738620000000-0800)/,2025-02-04 16:23:32.489436
580194,,"{""Description"": null, ""Direction"": ""E"", ""Latitude"": 47.579097513, ""Longitude"": -122.190627037, ""MilePost"": 9.14, ""RoadName"": ""090""}",,Maintenance,Open,,"Starting Sunday, March 17 on eastbound I-90 from East Mercer Way to Bellevue Way Southeast, a temporary lane-shift is in-place with a reduced speed limit to 45 mph due to a failing expansion joint until further notice.",/Date(1711056005240-0700)/,Medium,Northwest,"{""Description"": null, ""Direction"": ""E"", ""Latitude"": 47.577869379, ""Longitude"": -122.207390078, ""MilePost"": 8.35, ""RoadName"": ""090""}",/Date(1705557600000-0800)/,2025-02-04 16:23:32.489436
634754,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 0, ""Longitude"": 0, ""MilePost"": 0, ""RoadName"": ""018""}",/Date(1738760400000-0800)/,Construction,Open,,"The SR 18/Snoqualmie Parkway on-ramp to westbound I-90 will close from 9 p.m. to 5 a.m. nightly Monday, Feb. 5, through Wednesday morning, Feb. 7, for drainage work. A signed detour will use eastbound I-90 and loop around at Southeast North Bend Way (exit 27).",/Date(1738619533710-0800)/,Low,Northwest,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.508597707, ""Longitude"": -121.88366148, ""MilePost"": 27.88, ""RoadName"": ""018""}",/Date(1738619220000-0800)/,2025-02-04 16:23:32.489436
626321,,"{""Description"": null, ""Direction"": ""W"", ""Latitude"": 0, ""Longitude"": 0, ""MilePost"": 0, ""RoadName"": ""016""}",/Date(1756911600000-0700)/,Construction,Open,,"On State Route 16 westbound at the Sedgwick Road interchange, traffic is now on a two-lane bypass. The bypass will remain in place through the summer of 2025. This is related to a fish barrier removal project <a href=""https://wsdot.wa.gov/construction-planning/search-projects/sr-16-sr-160-kitsap-county-fish-passage-barriers-remove-fish-barriers"">Blackjack Creek</a>.",/Date(1733438007277-0800)/,Medium,Olympic,"{""Description"": null, ""Direction"": ""W"", ""Latitude"": 47.505187244, ""Longitude"": -122.648461759, ""MilePost"": 25.43, ""RoadName"": ""016""}",/Date(1732639440000-0800)/,2025-02-04 16:23:32.489436
634721,,"{""Description"": null, ""Direction"": ""S"", ""Latitude"": 0, ""Longitude"": 0, ""MilePost"": 0, ""RoadName"": ""167""}",/Date(1739019600000-0800)/,Construction,Open,,"Monday, February 3 to the morning of Saturday, February 8: The South 212th Street on-ramp to southbound SR 167 will be closed nightly, from 10:00 p.m. – 5:00 a.m.",/Date(1738610546890-0800)/,Low,Northwest,"{""Description"": null, ""Direction"": ""S"", ""Latitude"": 47.4121019, ""Longitude"": -122.22073621, ""MilePost"": 22.4, ""RoadName"": ""167""}",/Date(1738569600000-0800)/,2025-02-04 16:23:32.489436
627390,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.768888142, ""Longitude"": -121.077478103, ""MilePost"": 66.44, ""RoadName"": ""002""}",/Date(1743438420000-0700)/,Other,Open,,NO PARKING on US 2 Stevens Pass between milepost 58.50 and 66.40. Violators may be ticketed and/or towed.,/Date(1733592970297-0800)/,Low,North Central,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.710853696, ""Longitude"": -121.1585276, ""MilePost"": 58.5, ""RoadName"": ""002""}",/Date(1733592420000-0800)/,2025-02-04 16:23:32.489436
605117,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 48.493841392, ""Longitude"": -121.639301611, ""MilePost"": 95.29, ""RoadName"": ""020""}",,Construction,Open,,"Until further notice, from 7 a.m. to 5:30 p.m. Monday through Friday, contractor crews will intermittently alternate traffic on State Route 20 east of Concrete between Sauk Store Road (milepost 94) and Hornbeck Lane (milepost 95) for road construction related to a fish passage project. The work is expected to end at noon on Fridays.",/Date(1720813528927-0700)/,Medium,Northwest,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 48.504224038, ""Longitude"": -121.651423918, ""MilePost"": 94.37, ""RoadName"": ""020""}",/Date(1720811400000-0700)/,2025-02-04 16:23:32.489436
634714,,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.459493509, ""Longitude"": -122.217152971, ""MilePost"": 25.7, ""RoadName"": ""167""}",/Date(1739019600000-0800)/,Construction,Open,,"Monday, February 3 to the morning of Saturday, February 8: Up to two lanes of northbound SR 167 from 3rd Avenue Southwest (milepost 12.1) to I-405 (milepost 25.7) will be closed nightly, from 7:00 p.m. – 5:00 a.m.",/Date(1738609676887-0800)/,Low,Northwest,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.27056064, ""Longitude"": -122.260029105, ""MilePost"": 12.1, ""RoadName"": ""167""}",/Date(1738569600000-0800)/,2025-02-04 16:23:32.489436
619765,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 0, ""Longitude"": 0, ""MilePost"": 0, ""RoadName"": ""542""}",,Closure,Open,,"The final 2.7 miles of Mt. Baker Highway, referred to as the road to Artist Point (milepost 54) on State Route 542/Mount Baker Highway is closed for winter effective 8 a.m. on Oct. 16.

SR 542 remains open to up to this closure point. Winter recreationalists are encouraged to monitor conditions throughout the season.",/Date(1729091857203-0700)/,Highest,Northwest,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 48.863550014, ""Longitude"": -121.679008516, ""MilePost"": 54.5, ""RoadName"": ""542""}",/Date(1729090800000-0700)/,2025-02-04 16:23:32.489436
634428,,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 0, ""Longitude"": 0, ""MilePost"": 0, ""RoadName"": ""405""}",/Date(1738933200000-0800)/,Construction,Open,,"The Northeast 160th Street to the eastbound and westbound SR 522 collector distributor ramp will be closed nightly from 11 p.m. Monday, Feb. 3 to 5 a.m. Friday, Feb. 7.",/Date(1738354349257-0800)/,Low,Northwest,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.742729246, ""Longitude"": -122.186905802, ""MilePost"": 22.61, ""RoadName"": ""405""}",/Date(1738569600000-0800)/,2025-02-04 16:23:32.489436
626160,Spokane,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.66376145, ""Longitude"": -117.312807889, ""MilePost"": 286.24, ""RoadName"": ""090""}",,Road Report,Open,,"I-90 from US195 to Broadway, road conditions are:  bare and wet with snow and slush in places. ",/Date(1738697907740-0800)/,Low,Eastern,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.645344905, ""Longitude"": -117.454060605, ""MilePost"": 279.2, ""RoadName"": ""090""}",/Date(1738697880000-0800)/,2025-02-04 16:23:32.489436
634417,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 48.476424148, ""Longitude"": -122.335597816, ""MilePost"": 60.17, ""RoadName"": ""020""}",/Date(1738875600000-0800)/,Maintenance,Open,,"From 9 a.m. to 1 p.m. Thursday, Feb. 6, maintenance crews will close the center turn lanes of State Route 20 in Burlington between Washington Avenue and Victoria Avenue (milepost 60) for signal light maintenance.",/Date(1738348191380-0800)/,Medium,Northwest,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 48.47482489, ""Longitude"": -122.335601275, ""MilePost"": 60.06, ""RoadName"": ""020""}",/Date(1738344660000-0800)/,2025-02-04 16:23:32.489436
634713,,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.226821541, ""Longitude"": -122.24775169, ""MilePost"": 9.0, ""RoadName"": ""167""}",/Date(1739019600000-0800)/,Construction,Open,,"Monday, February 3 to the morning of Saturday, February 8: Up to two lanes of northbound SR 167 from SR 410 (milepost 7.1) to 24th Street East (milepost 9.0) will be closed nightly, from 7:00 p.m. – 5:00 a.m.",/Date(1738609561750-0800)/,Low,Northwest,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.202490584, ""Longitude"": -122.255891914, ""MilePost"": 7.1, ""RoadName"": ""167""}",/Date(1738569600000-0800)/,2025-02-04 16:23:32.489436
630888,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 46.3699885, ""Longitude"": -122.573129179, ""MilePost"": 21.2, ""RoadName"": ""504""}",/Date(1738882800000-0800)/,Maintenance,Open,,"Monday, Feb. 3 to Thursday, Feb. 6: Travelers in both directions of SR 504, between the SR 505 interchange and the North Fork Toutle River, will alternate intermittently through a single lane with flaggers, daily from 8 a.m. to 3 p.m., for tree trimming near utility lines. Plan ahead and expect delays.",/Date(1735933642410-0800)/,Lowest,Southwest,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 46.361302375, ""Longitude"": -122.673895651, ""MilePost"": 14.7, ""RoadName"": ""504""}",/Date(1738587600000-0800)/,2025-02-04 16:23:32.489436
634696,King,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.266171366, ""Longitude"": -122.320861607, ""MilePost"": 140.24, ""RoadName"": ""005""}",/Date(1739207460000-0800)/,Rest Area,Open,,"From 8 a.m. Monday, Feb. 3 until noon Friday, Feb. 7, maintenance crews will close the SeaTac rest area in Federal Way on northbound Interstate 5 just south of State Route 18 for routine maintenance.",/Date(1738622693710-0800)/,Medium,Northwest,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.266171366, ""Longitude"": -122.320861607, ""MilePost"": 140.24, ""RoadName"": ""005""}",/Date(1738602600000-0800)/,2025-02-04 16:23:32.489436
634143,,"{""Description"": null, ""Direction"": ""E"", ""Latitude"": 0, ""Longitude"": 0, ""MilePost"": 0, ""RoadName"": ""008""}",/Date(1739530800000-0800)/,Construction,Open,,"Effective Thursday, Jan. 30, until further notice, the RV dump station at the Elma Rest Area is closed.
The rest area will close around the clock to all travelers 8 a.m. Monday, Feb. 3, until 3 p.m. Friday, Feb. 14, to complete water system upgrades. <a href=""https://wsdot.wa.gov/about/news/2025/elma-rest-area-grays-harbor-county-closes-complete-water-system-work-feb-3-14"">Read the news release</a>.",/Date(1738282091690-0800)/,Medium,Olympic,"{""Description"": null, ""Direction"": ""E"", ""Latitude"": 47.018883972, ""Longitude"": -123.350543655, ""MilePost"": 2.0, ""RoadName"": ""008""}",/Date(1738085640000-0800)/,2025-02-04 16:23:32.489436
567868,,"{""Description"": null, ""Direction"": ""E"", ""Latitude"": 0, ""Longitude"": 0, ""MilePost"": 0, ""RoadName"": ""520""}",,Construction,Open,,"Monday, Sept. 25 until further notice – The Montlake Boulevard on-ramp to eastbound SR 520 will close for construction between 10 p.m. and 6 a.m. nightly Mondays through Thursdays.",/Date(1695683980043-0700)/,Medium,Northwest,"{""Description"": null, ""Direction"": ""E"", ""Latitude"": 47.644268948, ""Longitude"": -122.304331216, ""MilePost"": 0.94, ""RoadName"": ""520""}",/Date(1695682800000-0700)/,2025-02-04 16:23:32.489436
634341,,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 0, ""Longitude"": 0, ""MilePost"": 0, ""RoadName"": ""005""}",/Date(1738933200000-0800)/,Construction,Open,,"Sound Transit contractor crews will close the eastbound SR 104 on-ramp to northbound I-5 from 9 p.m. to 5 a.m. nightly Monday, Feb. 3 through the morning of Friday, Feb. 7.",/Date(1738268493210-0800)/,Medium,Northwest,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.76723661, ""Longitude"": -122.322515152, ""MilePost"": 177.0, ""RoadName"": ""005""}",/Date(1738282740000-0800)/,2025-02-04 16:23:32.489436
626164,Spokane,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.587515659, ""Longitude"": -117.403090177, ""MilePost"": 91.18, ""RoadName"": ""195""}",,Road Report,Open,,"US195 from Rosalia to Spokane, road conditions are: bare and wet, with slush and snow in places. ",/Date(1738697675983-0800)/,Low,Eastern,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.253450503, ""Longitude"": -117.361052472, ""MilePost"": 65.78, ""RoadName"": ""195""}",/Date(1738697640000-0800)/,2025-02-04 16:23:32.489436
595398,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 48.06116835, ""Longitude"": -124.152206272, ""MilePost"": 209.88, ""RoadName"": ""101""}",/Date(1759269900000-0700)/,Construction,Open,,"Expect shifted lanes and a reduced 40 mph speed limit on US 101 east of Forks for a <a href=""https://wsdot.wa.gov/construction-planning/search-projects/us-101-northwest-us-101-remove-fish-barriers"">fish barrier removal project.</a>",/Date(1727384646930-0700)/,Medium,Olympic,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 48.061818294, ""Longitude"": -124.175522334, ""MilePost"": 208.8, ""RoadName"": ""101""}",/Date(1714687500000-0700)/,2025-02-04 16:23:32.489436
626163,Whitman,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.253450503, ""Longitude"": -117.361052472, ""MilePost"": 65.78, ""RoadName"": ""195""}",,Road Report,Open,,"US195 from Pullman to Rosalia, road conditions are: bare and wet with snow and ice.",/Date(1738714125557-0800)/,Medium,Eastern,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 46.738118033, ""Longitude"": -117.227268231, ""MilePost"": 22.53, ""RoadName"": ""195""}",/Date(1738714080000-0800)/,2025-02-04 16:23:32.489436
622592,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 46.866219822, ""Longitude"": -121.540326433, ""MilePost"": 16.28, ""RoadName"": ""123""}",,Closure,Open,,SR 123 Cayuse Pass is now closed for the season between Crystal Mountain Boulevard and US 12 due to heavy snowfall and avalanche danger. The pass will reopen sometime in late spring 2025.,/Date(1730830168253-0800)/,Highest,Northwest,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 46.685425099, ""Longitude"": -121.578779227, ""MilePost"": 0.0, ""RoadName"": ""123""}",/Date(1730473680000-0700)/,2025-02-04 16:23:32.489436
634735,,"{""Description"": null, ""Direction"": ""S"", ""Latitude"": 47.46267578, ""Longitude"": -122.266144042, ""MilePost"": 0.0, ""RoadName"": ""405""}",/Date(1738933200000-0800)/,Construction,Open,,"The left HOV lane of southbound I-405 from Talbot Road South (milepost 3) to SR 181 (milepost 0) will be closed nightly, 10:15 p.m. Monday, Feb 3 – 5 a.m. Friday, Feb. 7.",/Date(1738611843470-0800)/,Low,Northwest,"{""Description"": null, ""Direction"": ""S"", ""Latitude"": 47.471342, ""Longitude"": -122.204799615, ""MilePost"": 3.0, ""RoadName"": ""405""}",/Date(1738569600000-0800)/,2025-02-04 16:23:32.489436
625012,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 48.321252974, ""Longitude"": -124.461801876, ""MilePost"": 5.6, ""RoadName"": ""112""}",/Date(1740783600000-0800)/,Construction,Open,,Around-the-clock alternating one-way traffic and a reduced speed limit of 25 mph in in place on SR 112 at milepost 5.5 until further notice.,/Date(1732319764840-0800)/,Medium,Olympic,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 48.321707016, ""Longitude"": -124.463835266, ""MilePost"": 5.5, ""RoadName"": ""112""}",/Date(1732319520000-0800)/,2025-02-04 16:23:32.489436
565164,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.0004048, ""Longitude"": -123.405193108, ""MilePost"": 20.09, ""RoadName"": ""012""}",/Date(1767208860000-0800)/,Construction,Open,,"US 12 is reduced to one lane in each direction between South 3rd Street and Schouweiler Road near Elma with both lanes on the eastbound side of the highway. The speed limit is reduced to 50 mph for a <a href=""https://wsdot.wa.gov/construction-planning/search-projects/us-12-sr-8-grays-harbor-county-fish-passage-barriers-remove-fish-barriers"">fish barrier removal project</a>.",/Date(1729024454560-0700)/,Medium,Olympic,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 46.995549394, ""Longitude"": -123.439327137, ""MilePost"": 18.41, ""RoadName"": ""012""}",/Date(1694197260000-0700)/,2025-02-04 16:23:32.489436
634737,,"{""Description"": null, ""Direction"": ""S"", ""Latitude"": 0, ""Longitude"": 0, ""MilePost"": 0, ""RoadName"": ""405""}",/Date(1738931400000-0800)/,Construction,Open,,"The southbound I-405 off-ramp to North Southport Drive will be closed overnight, 9:30 p.m. Thursday, Feb. 6 – 4:30 a.m. Friday, Feb. 7. A signed detour will be in place.",/Date(1738612225110-0800)/,Low,Northwest,"{""Description"": null, ""Direction"": ""S"", ""Latitude"": 47.493285075, ""Longitude"": -122.192017792, ""MilePost"": 4.75, ""RoadName"": ""405""}",/Date(1738569600000-0800)/,2025-02-04 16:23:32.489436
634413,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 0, ""Longitude"": 0, ""MilePost"": 0, ""RoadName"": ""009""}",/Date(1738792800000-0800)/,Maintenance,Open,,"From 8 a.m. to 2 p.m. Wednesday, Feb. 5, bridge maintenance crews will alternate traffic on State Route 9 in Sedro-Wooley on the Skagit River Bridge (milepost 54) for bridge flushing.",/Date(1738344659800-0800)/,Medium,Northwest,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 48.483527275, ""Longitude"": -122.242967245, ""MilePost"": 54.38, ""RoadName"": ""009""}",/Date(1738341900000-0800)/,2025-02-04 16:23:32.489436
624038,,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 0, ""Longitude"": 0, ""MilePost"": 0, ""RoadName"": ""002""}",/Date(1731600960000-0800)/,Rest Area,Open,,The Iron Goat rest area is closed for the winter.,/Date(1731601258023-0800)/,Lowest,North Central,"{""Description"": null, ""Direction"": ""N"", ""Latitude"": 47.712883459, ""Longitude"": -121.168688932, ""MilePost"": 58.0, ""RoadName"": ""002""}",/Date(1731600960000-0800)/,2025-02-04 16:23:32.489436
632269,,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 0, ""Longitude"": 0, ""MilePost"": 0, ""RoadName"": ""162""}",/Date(1774969200000-0700)/,Construction,Open,,"Intermittent traffic delays starting Jan. 21 on SR 162 between Lane Street NE and Old Pioneer Way NW in Orting for construction of the <a href=""https://www.cityoforting.org/government/project-updates/emergency-evacuation-bridge"">City of Orting Emergency Evacuation Bridge</a>.",/Date(1737158990373-0800)/,Medium,Olympic,"{""Description"": null, ""Direction"": ""B"", ""Latitude"": 47.107057244, ""Longitude"": -122.219073353, ""MilePost"": 8.6, ""RoadName"": ""162""}",/Date(1737158280000-0800)/,2025-02-04 16:23:32.489436
